UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2019,4,433,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,EBOOK,2019,4,42,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Digital,OverDrive,AUDIOBOOK,2019,4,17,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,AUDIOBOOK,2019,5,63,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,EBOOK,2019,5,133,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Physical,Horizon,BOOK,2019,5,636,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,EBOOK,2019,6,146,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Physical,Horizon,BOOK,2019,6,572,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,AUDIOBOOK,2019,6,69,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Physical,Horizon,BOOK,2019,7,608,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,AUDIOBOOK,2019,7,82,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,EBOOK,2019,7,174,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Digital,OverDrive,EBOOK,2019,8,167,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Digital,OverDrive,AUDIOBOOK,2019,8,73,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Physical,Horizon,BOOK,2019,8,524,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,EBOOK,2019,9,176,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Digital,OverDrive,AUDIOBOOK,2019,9,75,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Physical,Horizon,BOOK,2019,9,500,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Physical,Horizon,BOOK,2019,10,389,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,AUDIOBOOK,2019,10,79,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,EBOOK,2019,10,171,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Physical,Horizon,BOOK,2019,11,375,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,AUDIOBOOK,2019,11,79,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,AUDIOBOOK,2019,12,74,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,EBOOK,2020,1,186,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Physical,Horizon,BOOK,2019,12,394,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Physical,Horizon,BOOK,2020,1,181,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,AUDIOBOOK,2020,1,80,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,AUDIOBOOK,2020,2,71,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Physical,Horizon,BOOK,2020,2,140,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,EBOOK,2020,2,166,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Digital,OverDrive,EBOOK,2020,3,133,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Physical,Horizon,BOOK,2020,3,67,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,AUDIOBOOK,2020,3,68,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,EBOOK,2020,4,158,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Digital,OverDrive,AUDIOBOOK,2020,4,59,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,AUDIOBOOK,2020,5,118,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,EBOOK,2020,5,313,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Digital,OverDrive,AUDIOBOOK,2020,6,108,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,EBOOK,2020,6,280,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Digital,OverDrive,EBOOK,2020,7,290,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Digital,OverDrive,AUDIOBOOK,2020,7,114,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Physical,Horizon,BOOK,2020,8,3,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,EBOOK,2020,8,278,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Digital,OverDrive,AUDIOBOOK,2020,8,113,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,AUDIOBOOK,2020,9,113,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,EBOOK,2020,9,289,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Physical,Horizon,BOOK,2020,9,54,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,AUDIOBOOK,2020,10,137,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Digital,OverDrive,EBOOK,2020,10,329,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Physical,Horizon,BOOK,2020,10,34,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,EBOOK,2020,11,345,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
Digital,OverDrive,AUDIOBOOK,2020,11,150,Normal People: A Novel (unabridged) (Unabridged),,Sally Rooney,"Fiction, Literature",Books on Tape,2019
Physical,Horizon,BOOK,2020,11,32,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Physical,Horizon,BOOK,2020,12,24,Normal people : a novel / Sally Rooney.,,"Rooney, Sally","First loves Fiction, Social classes Fiction, Man woman relationships Fiction, College students Fiction, Dublin Ireland Fiction, Bildungsromans","Hogarth,",[2019]
Digital,OverDrive,EBOOK,2020,12,370,Normal People: A Novel,,Sally Rooney,"Fiction, Literature","Random House, Inc.",2019
